"sex","educ","region","year"
"F","4 years of college","New England","1970's"
"F","4 years of college","New England","1980's"
"F","4 years of college","New England","1990's"
"F","4 years of college","New England","2000's"
"F","4 years of college","New England","2010's"
"F","4 years of college","New England","2020's"
"F","4 years of college","Middle Atlantic","1970's"
"F","4 years of college","Middle Atlantic","1980's"
"F","4 years of college","Middle Atlantic","1990's"
"F","4 years of college","Middle Atlantic","2000's"
"F","4 years of college","Middle Atlantic","2010's"
"F","4 years of college","Middle Atlantic","2020's"
"F","4 years of college","East North Central","1970's"
"F","4 years of college","East North Central","1980's"
"F","4 years of college","East North Central","1990's"
"F","4 years of college","East North Central","2000's"
"F","4 years of college","East North Central","2010's"
"F","4 years of college","East North Central","2020's"
"F","4 years of college","West North Central","1970's"
"F","4 years of college","West North Central","1980's"
"F","4 years of college","West North Central","1990's"
"F","4 years of college","West North Central","2000's"
"F","4 years of college","West North Central","2010's"
"F","4 years of college","West North Central","2020's"
"F","4 years of college","South Atlantic","1970's"
"F","4 years of college","South Atlantic","1980's"
"F","4 years of college","South Atlantic","1990's"
"F","4 years of college","South Atlantic","2000's"
"F","4 years of college","South Atlantic","2010's"
"F","4 years of college","South Atlantic","2020's"
"F","4 years of college","East South Central","1970's"
"F","4 years of college","East South Central","1980's"
"F","4 years of college","East South Central","1990's"
"F","4 years of college","East South Central","2000's"
"F","4 years of college","East South Central","2010's"
"F","4 years of college","East South Central","2020's"
"F","4 years of college","West South Central","1970's"
"F","4 years of college","West South Central","1980's"
"F","4 years of college","West South Central","1990's"
"F","4 years of college","West South Central","2000's"
"F","4 years of college","West South Central","2010's"
"F","4 years of college","West South Central","2020's"
"F","4 years of college","Mountain","1970's"
"F","4 years of college","Mountain","1980's"
"F","4 years of college","Mountain","1990's"
"F","4 years of college","Mountain","2000's"
"F","4 years of college","Mountain","2010's"
"F","4 years of college","Mountain","2020's"
"F","4 years of college","Pacific","1970's"
"F","4 years of college","Pacific","1980's"
"F","4 years of college","Pacific","1990's"
"F","4 years of college","Pacific","2000's"
"F","4 years of college","Pacific","2010's"
"F","4 years of college","Pacific","2020's"
"F","10th grade","New England","1970's"
"F","10th grade","New England","1980's"
"F","10th grade","New England","1990's"
"F","10th grade","New England","2000's"
"F","10th grade","New England","2010's"
"F","10th grade","New England","2020's"
"F","10th grade","Middle Atlantic","1970's"
"F","10th grade","Middle Atlantic","1980's"
"F","10th grade","Middle Atlantic","1990's"
"F","10th grade","Middle Atlantic","2000's"
"F","10th grade","Middle Atlantic","2010's"
"F","10th grade","Middle Atlantic","2020's"
"F","10th grade","East North Central","1970's"
"F","10th grade","East North Central","1980's"
"F","10th grade","East North Central","1990's"
"F","10th grade","East North Central","2000's"
"F","10th grade","East North Central","2010's"
"F","10th grade","East North Central","2020's"
"F","10th grade","West North Central","1970's"
"F","10th grade","West North Central","1980's"
"F","10th grade","West North Central","1990's"
"F","10th grade","West North Central","2000's"
"F","10th grade","West North Central","2010's"
"F","10th grade","West North Central","2020's"
"F","10th grade","South Atlantic","1970's"
"F","10th grade","South Atlantic","1980's"
"F","10th grade","South Atlantic","1990's"
"F","10th grade","South Atlantic","2000's"
"F","10th grade","South Atlantic","2010's"
"F","10th grade","South Atlantic","2020's"
"F","10th grade","East South Central","1970's"
"F","10th grade","East South Central","1980's"
"F","10th grade","East South Central","1990's"
"F","10th grade","East South Central","2000's"
"F","10th grade","East South Central","2010's"
"F","10th grade","East South Central","2020's"
"F","10th grade","West South Central","1970's"
"F","10th grade","West South Central","1980's"
"F","10th grade","West South Central","1990's"
"F","10th grade","West South Central","2000's"
"F","10th grade","West South Central","2010's"
"F","10th grade","West South Central","2020's"
"F","10th grade","Mountain","1970's"
"F","10th grade","Mountain","1980's"
"F","10th grade","Mountain","1990's"
"F","10th grade","Mountain","2000's"
"F","10th grade","Mountain","2010's"
"F","10th grade","Mountain","2020's"
"F","10th grade","Pacific","1970's"
"F","10th grade","Pacific","1980's"
"F","10th grade","Pacific","1990's"
"F","10th grade","Pacific","2000's"
"F","10th grade","Pacific","2010's"
"F","10th grade","Pacific","2020's"
"F","12th grade","New England","1970's"
"F","12th grade","New England","1980's"
"F","12th grade","New England","1990's"
"F","12th grade","New England","2000's"
"F","12th grade","New England","2010's"
"F","12th grade","New England","2020's"
"F","12th grade","Middle Atlantic","1970's"
"F","12th grade","Middle Atlantic","1980's"
"F","12th grade","Middle Atlantic","1990's"
"F","12th grade","Middle Atlantic","2000's"
"F","12th grade","Middle Atlantic","2010's"
"F","12th grade","Middle Atlantic","2020's"
"F","12th grade","East North Central","1970's"
"F","12th grade","East North Central","1980's"
"F","12th grade","East North Central","1990's"
"F","12th grade","East North Central","2000's"
"F","12th grade","East North Central","2010's"
"F","12th grade","East North Central","2020's"
"F","12th grade","West North Central","1970's"
"F","12th grade","West North Central","1980's"
"F","12th grade","West North Central","1990's"
"F","12th grade","West North Central","2000's"
"F","12th grade","West North Central","2010's"
"F","12th grade","West North Central","2020's"
"F","12th grade","South Atlantic","1970's"
"F","12th grade","South Atlantic","1980's"
"F","12th grade","South Atlantic","1990's"
"F","12th grade","South Atlantic","2000's"
"F","12th grade","South Atlantic","2010's"
"F","12th grade","South Atlantic","2020's"
"F","12th grade","East South Central","1970's"
"F","12th grade","East South Central","1980's"
"F","12th grade","East South Central","1990's"
"F","12th grade","East South Central","2000's"
"F","12th grade","East South Central","2010's"
"F","12th grade","East South Central","2020's"
"F","12th grade","West South Central","1970's"
"F","12th grade","West South Central","1980's"
"F","12th grade","West South Central","1990's"
"F","12th grade","West South Central","2000's"
"F","12th grade","West South Central","2010's"
"F","12th grade","West South Central","2020's"
