"sex","happiness","region","year"
"F","Not too happy","New England","1970's"
"F","Not too happy","New England","1980's"
"F","Not too happy","New England","1990's"
"F","Not too happy","New England","2000's"
"F","Not too happy","New England","2010's"
"F","Not too happy","New England","2020's"
"F","Not too happy","Middle Atlantic","1970's"
"F","Not too happy","Middle Atlantic","1980's"
"F","Not too happy","Middle Atlantic","1990's"
"F","Not too happy","Middle Atlantic","2000's"
"F","Not too happy","Middle Atlantic","2010's"
"F","Not too happy","Middle Atlantic","2020's"
"F","Not too happy","East North Central","1970's"
"F","Not too happy","East North Central","1980's"
"F","Not too happy","East North Central","1990's"
"F","Not too happy","East North Central","2000's"
"F","Not too happy","East North Central","2010's"
"F","Not too happy","East North Central","2020's"
"F","Not too happy","West North Central","1970's"
"F","Not too happy","West North Central","1980's"
"F","Not too happy","West North Central","1990's"
"F","Not too happy","West North Central","2000's"
"F","Not too happy","West North Central","2010's"
"F","Not too happy","West North Central","2020's"
"F","Not too happy","South Atlantic","1970's"
"F","Not too happy","South Atlantic","1980's"
"F","Not too happy","South Atlantic","1990's"
"F","Not too happy","South Atlantic","2000's"
"F","Not too happy","South Atlantic","2010's"
"F","Not too happy","South Atlantic","2020's"
"F","Not too happy","East South Central","1970's"
"F","Not too happy","East South Central","1980's"
"F","Not too happy","East South Central","1990's"
"F","Not too happy","East South Central","2000's"
"F","Not too happy","East South Central","2010's"
"F","Not too happy","East South Central","2020's"
"F","Not too happy","West South Central","1970's"
"F","Not too happy","West South Central","1980's"
"F","Not too happy","West South Central","1990's"
"F","Not too happy","West South Central","2000's"
"F","Not too happy","West South Central","2010's"
"F","Not too happy","West South Central","2020's"
"F","Not too happy","Mountain","1970's"
"F","Not too happy","Mountain","1980's"
"F","Not too happy","Mountain","1990's"
"F","Not too happy","Mountain","2000's"
"F","Not too happy","Mountain","2010's"
"F","Not too happy","Mountain","2020's"
"F","Not too happy","Pacific","1970's"
"F","Not too happy","Pacific","1980's"
"F","Not too happy","Pacific","1990's"
"F","Not too happy","Pacific","2000's"
"F","Not too happy","Pacific","2010's"
"F","Not too happy","Pacific","2020's"
"F","Pretty happy","New England","1970's"
"F","Pretty happy","New England","1980's"
"F","Pretty happy","New England","1990's"
"F","Pretty happy","New England","2000's"
"F","Pretty happy","New England","2010's"
"F","Pretty happy","New England","2020's"
"F","Pretty happy","Middle Atlantic","1970's"
"F","Pretty happy","Middle Atlantic","1980's"
"F","Pretty happy","Middle Atlantic","1990's"
"F","Pretty happy","Middle Atlantic","2000's"
"F","Pretty happy","Middle Atlantic","2010's"
"F","Pretty happy","Middle Atlantic","2020's"
"F","Pretty happy","East North Central","1970's"
"F","Pretty happy","East North Central","1980's"
"F","Pretty happy","East North Central","1990's"
"F","Pretty happy","East North Central","2000's"
"F","Pretty happy","East North Central","2010's"
"F","Pretty happy","East North Central","2020's"
"F","Pretty happy","West North Central","1970's"
"F","Pretty happy","West North Central","1980's"
"F","Pretty happy","West North Central","1990's"
"F","Pretty happy","West North Central","2000's"
"F","Pretty happy","West North Central","2010's"
"F","Pretty happy","West North Central","2020's"
"F","Pretty happy","South Atlantic","1970's"
"F","Pretty happy","South Atlantic","1980's"
"F","Pretty happy","South Atlantic","1990's"
"F","Pretty happy","South Atlantic","2000's"
"F","Pretty happy","South Atlantic","2010's"
"F","Pretty happy","South Atlantic","2020's"
"F","Pretty happy","East South Central","1970's"
"F","Pretty happy","East South Central","1980's"
"F","Pretty happy","East South Central","1990's"
"F","Pretty happy","East South Central","2000's"
"F","Pretty happy","East South Central","2010's"
"F","Pretty happy","East South Central","2020's"
"F","Pretty happy","West South Central","1970's"
"F","Pretty happy","West South Central","1980's"
"F","Pretty happy","West South Central","1990's"
"F","Pretty happy","West South Central","2000's"
"F","Pretty happy","West South Central","2010's"
"F","Pretty happy","West South Central","2020's"
"F","Pretty happy","Mountain","1970's"
"F","Pretty happy","Mountain","1980's"
"F","Pretty happy","Mountain","1990's"
"F","Pretty happy","Mountain","2000's"
"F","Pretty happy","Mountain","2010's"
"F","Pretty happy","Mountain","2020's"
"F","Pretty happy","Pacific","1970's"
"F","Pretty happy","Pacific","1980's"
"F","Pretty happy","Pacific","1990's"
"F","Pretty happy","Pacific","2000's"
"F","Pretty happy","Pacific","2010's"
"F","Pretty happy","Pacific","2020's"
"F","Very happy","New England","1970's"
"F","Very happy","New England","1980's"
"F","Very happy","New England","1990's"
"F","Very happy","New England","2000's"
"F","Very happy","New England","2010's"
"F","Very happy","New England","2020's"
"F","Very happy","Middle Atlantic","1970's"
"F","Very happy","Middle Atlantic","1980's"
"F","Very happy","Middle Atlantic","1990's"
"F","Very happy","Middle Atlantic","2000's"
"F","Very happy","Middle Atlantic","2010's"
"F","Very happy","Middle Atlantic","2020's"
"F","Very happy","East North Central","1970's"
"F","Very happy","East North Central","1980's"
"F","Very happy","East North Central","1990's"
"F","Very happy","East North Central","2000's"
"F","Very happy","East North Central","2010's"
"F","Very happy","East North Central","2020's"
"F","Very happy","West North Central","1970's"
"F","Very happy","West North Central","1980's"
"F","Very happy","West North Central","1990's"
"F","Very happy","West North Central","2000's"
"F","Very happy","West North Central","2010's"
"F","Very happy","West North Central","2020's"
"F","Very happy","South Atlantic","1970's"
"F","Very happy","South Atlantic","1980's"
"F","Very happy","South Atlantic","1990's"
"F","Very happy","South Atlantic","2000's"
"F","Very happy","South Atlantic","2010's"
"F","Very happy","South Atlantic","2020's"
"F","Very happy","East South Central","1970's"
"F","Very happy","East South Central","1980's"
"F","Very happy","East South Central","1990's"
"F","Very happy","East South Central","2000's"
"F","Very happy","East South Central","2010's"
"F","Very happy","East South Central","2020's"
"F","Very happy","West South Central","1970's"
"F","Very happy","West South Central","1980's"
"F","Very happy","West South Central","1990's"
"F","Very happy","West South Central","2000's"
"F","Very happy","West South Central","2010's"
"F","Very happy","West South Central","2020's"
"F","Very happy","Mountain","1970's"
"F","Very happy","Mountain","1980's"
"F","Very happy","Mountain","1990's"
"F","Very happy","Mountain","2000's"
"F","Very happy","Mountain","2010's"
"F","Very happy","Mountain","2020's"
"F","Very happy","Pacific","1970's"
"F","Very happy","Pacific","1980's"
"F","Very happy","Pacific","1990's"
"F","Very happy","Pacific","2000's"
"F","Very happy","Pacific","2010's"
"F","Very happy","Pacific","2020's"
"M","Not too happy","New England","1970's"
"M","Not too happy","New England","1980's"
"M","Not too happy","New England","1990's"
"M","Not too happy","New England","2000's"
"M","Not too happy","New England","2010's"
"M","Not too happy","New England","2020's"
"M","Not too happy","Middle Atlantic","1970's"
"M","Not too happy","Middle Atlantic","1980's"
"M","Not too happy","Middle Atlantic","1990's"
"M","Not too happy","Middle Atlantic","2000's"
"M","Not too happy","Middle Atlantic","2010's"
"M","Not too happy","Middle Atlantic","2020's"
"M","Not too happy","East North Central","1970's"
"M","Not too happy","East North Central","1980's"
"M","Not too happy","East North Central","1990's"
"M","Not too happy","East North Central","2000's"
"M","Not too happy","East North Central","2010's"
"M","Not too happy","East North Central","2020's"
"M","Not too happy","West North Central","1970's"
"M","Not too happy","West North Central","1980's"
"M","Not too happy","West North Central","1990's"
"M","Not too happy","West North Central","2000's"
"M","Not too happy","West North Central","2010's"
"M","Not too happy","West North Central","2020's"
"M","Not too happy","South Atlantic","1970's"
"M","Not too happy","South Atlantic","1980's"
"M","Not too happy","South Atlantic","1990's"
"M","Not too happy","South Atlantic","2000's"
"M","Not too happy","South Atlantic","2010's"
"M","Not too happy","South Atlantic","2020's"
"M","Not too happy","East South Central","1970's"
"M","Not too happy","East South Central","1980's"
"M","Not too happy","East South Central","1990's"
"M","Not too happy","East South Central","2000's"
"M","Not too happy","East South Central","2010's"
"M","Not too happy","East South Central","2020's"
"M","Not too happy","West South Central","1970's"
"M","Not too happy","West South Central","1980's"
"M","Not too happy","West South Central","1990's"
"M","Not too happy","West South Central","2000's"
"M","Not too happy","West South Central","2010's"
"M","Not too happy","West South Central","2020's"
"M","Not too happy","Mountain","1970's"
"M","Not too happy","Mountain","1980's"
"M","Not too happy","Mountain","1990's"
"M","Not too happy","Mountain","2000's"
"M","Not too happy","Mountain","2010's"
"M","Not too happy","Mountain","2020's"
"M","Not too happy","Pacific","1970's"
"M","Not too happy","Pacific","1980's"
"M","Not too happy","Pacific","1990's"
"M","Not too happy","Pacific","2000's"
"M","Not too happy","Pacific","2010's"
"M","Not too happy","Pacific","2020's"
"M","Pretty happy","New England","1970's"
"M","Pretty happy","New England","1980's"
"M","Pretty happy","New England","1990's"
"M","Pretty happy","New England","2000's"
"M","Pretty happy","New England","2010's"
"M","Pretty happy","New England","2020's"
"M","Pretty happy","Middle Atlantic","1970's"
"M","Pretty happy","Middle Atlantic","1980's"
"M","Pretty happy","Middle Atlantic","1990's"
"M","Pretty happy","Middle Atlantic","2000's"
"M","Pretty happy","Middle Atlantic","2010's"
"M","Pretty happy","Middle Atlantic","2020's"
"M","Pretty happy","East North Central","1970's"
"M","Pretty happy","East North Central","1980's"
"M","Pretty happy","East North Central","1990's"
"M","Pretty happy","East North Central","2000's"
"M","Pretty happy","East North Central","2010's"
"M","Pretty happy","East North Central","2020's"
"M","Pretty happy","West North Central","1970's"
"M","Pretty happy","West North Central","1980's"
"M","Pretty happy","West North Central","1990's"
"M","Pretty happy","West North Central","2000's"
"M","Pretty happy","West North Central","2010's"
"M","Pretty happy","West North Central","2020's"
"M","Pretty happy","South Atlantic","1970's"
"M","Pretty happy","South Atlantic","1980's"
"M","Pretty happy","South Atlantic","1990's"
"M","Pretty happy","South Atlantic","2000's"
"M","Pretty happy","South Atlantic","2010's"
"M","Pretty happy","South Atlantic","2020's"
"M","Pretty happy","East South Central","1970's"
"M","Pretty happy","East South Central","1980's"
"M","Pretty happy","East South Central","1990's"
"M","Pretty happy","East South Central","2000's"
"M","Pretty happy","East South Central","2010's"
"M","Pretty happy","East South Central","2020's"
"M","Pretty happy","West South Central","1970's"
"M","Pretty happy","West South Central","1980's"
"M","Pretty happy","West South Central","1990's"
"M","Pretty happy","West South Central","2000's"
"M","Pretty happy","West South Central","2010's"
"M","Pretty happy","West South Central","2020's"
"M","Pretty happy","Mountain","1970's"
"M","Pretty happy","Mountain","1980's"
"M","Pretty happy","Mountain","1990's"
"M","Pretty happy","Mountain","2000's"
"M","Pretty happy","Mountain","2010's"
"M","Pretty happy","Mountain","2020's"
"M","Pretty happy","Pacific","1970's"
"M","Pretty happy","Pacific","1980's"
"M","Pretty happy","Pacific","1990's"
"M","Pretty happy","Pacific","2000's"
