"sex","marital","region","year"
"F","Never married","New England","1970's"
"F","Never married","New England","1980's"
"F","Never married","New England","1990's"
"F","Never married","New England","2000's"
"F","Never married","New England","2010's"
"F","Never married","New England","2020's"
"F","Never married","Middle Atlantic","1970's"
"F","Never married","Middle Atlantic","1980's"
"F","Never married","Middle Atlantic","1990's"
"F","Never married","Middle Atlantic","2000's"
"F","Never married","Middle Atlantic","2010's"
"F","Never married","Middle Atlantic","2020's"
"F","Never married","East North Central","1970's"
"F","Never married","East North Central","1980's"
"F","Never married","East North Central","1990's"
"F","Never married","East North Central","2000's"
"F","Never married","East North Central","2010's"
"F","Never married","East North Central","2020's"
"F","Never married","West North Central","1970's"
"F","Never married","West North Central","1980's"
"F","Never married","West North Central","1990's"
"F","Never married","West North Central","2000's"
"F","Never married","West North Central","2010's"
"F","Never married","West North Central","2020's"
"F","Never married","South Atlantic","1970's"
"F","Never married","South Atlantic","1980's"
"F","Never married","South Atlantic","1990's"
"F","Never married","South Atlantic","2000's"
"F","Never married","South Atlantic","2010's"
"F","Never married","South Atlantic","2020's"
"F","Never married","East South Central","1970's"
"F","Never married","East South Central","1980's"
"F","Never married","East South Central","1990's"
"F","Never married","East South Central","2000's"
"F","Never married","East South Central","2010's"
"F","Never married","East South Central","2020's"
"F","Never married","West South Central","1970's"
"F","Never married","West South Central","1980's"
"F","Never married","West South Central","1990's"
"F","Never married","West South Central","2000's"
"F","Never married","West South Central","2010's"
"F","Never married","West South Central","2020's"
"F","Never married","Mountain","1970's"
"F","Never married","Mountain","1980's"
"F","Never married","Mountain","1990's"
"F","Never married","Mountain","2000's"
"F","Never married","Mountain","2010's"
"F","Never married","Mountain","2020's"
"F","Never married","Pacific","1970's"
"F","Never married","Pacific","1980's"
"F","Never married","Pacific","1990's"
"F","Never married","Pacific","2000's"
"F","Never married","Pacific","2010's"
"F","Never married","Pacific","2020's"
"F","Married","New England","1970's"
"F","Married","New England","1980's"
"F","Married","New England","1990's"
"F","Married","New England","2000's"
"F","Married","New England","2010's"
"F","Married","New England","2020's"
"F","Married","Middle Atlantic","1970's"
"F","Married","Middle Atlantic","1980's"
"F","Married","Middle Atlantic","1990's"
"F","Married","Middle Atlantic","2000's"
"F","Married","Middle Atlantic","2010's"
"F","Married","Middle Atlantic","2020's"
"F","Married","East North Central","1970's"
"F","Married","East North Central","1980's"
"F","Married","East North Central","1990's"
"F","Married","East North Central","2000's"
"F","Married","East North Central","2010's"
"F","Married","East North Central","2020's"
"F","Married","West North Central","1970's"
"F","Married","West North Central","1980's"
"F","Married","West North Central","1990's"
"F","Married","West North Central","2000's"
"F","Married","West North Central","2010's"
"F","Married","West North Central","2020's"
"F","Married","South Atlantic","1970's"
"F","Married","South Atlantic","1980's"
"F","Married","South Atlantic","1990's"
"F","Married","South Atlantic","2000's"
"F","Married","South Atlantic","2010's"
"F","Married","South Atlantic","2020's"
"F","Married","East South Central","1970's"
"F","Married","East South Central","1980's"
"F","Married","East South Central","1990's"
"F","Married","East South Central","2000's"
"F","Married","East South Central","2010's"
"F","Married","East South Central","2020's"
"F","Married","West South Central","1970's"
"F","Married","West South Central","1980's"
"F","Married","West South Central","1990's"
"F","Married","West South Central","2000's"
"F","Married","West South Central","2010's"
"F","Married","West South Central","2020's"
"F","Married","Mountain","1970's"
"F","Married","Mountain","1980's"
"F","Married","Mountain","1990's"
"F","Married","Mountain","2000's"
"F","Married","Mountain","2010's"
"F","Married","Mountain","2020's"
"F","Married","Pacific","1970's"
"F","Married","Pacific","1980's"
"F","Married","Pacific","1990's"
"F","Married","Pacific","2000's"
