"sex","race","region","year"
"F","White","New England","1970's"
"F","White","New England","1980's"
"F","White","New England","1990's"
"F","White","New England","2000's"
"F","White","New England","2010's"
"F","White","New England","2020's"
"F","White","Middle Atlantic","1970's"
"F","White","Middle Atlantic","1980's"
"F","White","Middle Atlantic","1990's"
"F","White","Middle Atlantic","2000's"
"F","White","Middle Atlantic","2010's"
"F","White","Middle Atlantic","2020's"
"F","White","East North Central","1970's"
"F","White","East North Central","1980's"
"F","White","East North Central","1990's"
"F","White","East North Central","2000's"
"F","White","East North Central","2010's"
"F","White","East North Central","2020's"
"F","White","West North Central","1970's"
"F","White","West North Central","1980's"
"F","White","West North Central","1990's"
"F","White","West North Central","2000's"
"F","White","West North Central","2010's"
"F","White","West North Central","2020's"
"F","Black","New England","1970's"
"F","Black","New England","1980's"
"F","Black","New England","1990's"
"F","Black","New England","2000's"
"F","Black","New England","2010's"
"F","Black","New England","2020's"
"F","Black","Middle Atlantic","1970's"
"F","Black","Middle Atlantic","1980's"
"F","Black","Middle Atlantic","1990's"
"F","Black","Middle Atlantic","2000's"
"F","Black","Middle Atlantic","2010's"
"F","Black","Middle Atlantic","2020's"
"F","Black","East North Central","1970's"
"F","Black","East North Central","1980's"
"F","Black","East North Central","1990's"
"F","Black","East North Central","2000's"
"F","Black","East North Central","2010's"
"F","Black","East North Central","2020's"
"F","Black","West North Central","1970's"
"F","Black","West North Central","1980's"
"F","Black","West North Central","1990's"
"F","Black","West North Central","2000's"
"F","Black","West North Central","2010's"
"F","Black","West North Central","2020's"
"F","Other","New England","1970's"
"F","Other","New England","1980's"
"F","Other","New England","1990's"
"F","Other","New England","2000's"
"F","Other","New England","2010's"
"F","Other","New England","2020's"
"F","Other","Middle Atlantic","1970's"
"F","Other","Middle Atlantic","1980's"
"F","Other","Middle Atlantic","1990's"
"F","Other","Middle Atlantic","2000's"
"F","Other","Middle Atlantic","2010's"
"F","Other","Middle Atlantic","2020's"
"F","Other","East North Central","1970's"
"F","Other","East North Central","1980's"
"F","Other","East North Central","1990's"
"F","Other","East North Central","2000's"
"F","Other","East North Central","2010's"
"F","Other","East North Central","2020's"
"F","Other","West North Central","1970's"
"F","Other","West North Central","1980's"
"F","Other","West North Central","1990's"
"F","Other","West North Central","2000's"
"F","Other","West North Central","2010's"
"F","Other","West North Central","2020's"
"M","White","New England","1970's"
"M","White","New England","1980's"
"M","White","New England","1990's"
"M","White","New England","2000's"
"M","White","New England","2010's"
"M","White","New England","2020's"
"M","White","Middle Atlantic","1970's"
"M","White","Middle Atlantic","1980's"
"M","White","Middle Atlantic","1990's"
"M","White","Middle Atlantic","2000's"
"M","White","Middle Atlantic","2010's"
"M","White","Middle Atlantic","2020's"
"M","White","East North Central","1970's"
"M","White","East North Central","1980's"
"M","White","East North Central","1990's"
"M","White","East North Central","2000's"
"M","White","East North Central","2010's"
"M","White","East North Central","2020's"
"M","White","West North Central","1970's"
"M","White","West North Central","1980's"
"M","White","West North Central","1990's"
"M","White","West North Central","2000's"
"M","White","West North Central","2010's"
"M","White","West North Central","2020's"
"M","Black","New England","1970's"
"M","Black","New England","1980's"
"M","Black","New England","1990's"
"M","Black","New England","2000's"
"M","Black","New England","2010's"
"M","Black","New England","2020's"
"M","Black","Middle Atlantic","1970's"
"M","Black","Middle Atlantic","1980's"
"M","Black","Middle Atlantic","1990's"
"M","Black","Middle Atlantic","2000's"
"M","Black","Middle Atlantic","2010's"
"M","Black","Middle Atlantic","2020's"
"M","Black","East North Central","1970's"
"M","Black","East North Central","1980's"
"M","Black","East North Central","1990's"
"M","Black","East North Central","2000's"
"M","Black","East North Central","2010's"
"M","Black","East North Central","2020's"
"M","Black","West North Central","1970's"
"M","Black","West North Central","1980's"
"M","Black","West North Central","1990's"
"M","Black","West North Central","2000's"
"M","Black","West North Central","2010's"
"M","Black","West North Central","2020's"
"M","Other","New England","1970's"
"M","Other","New England","1980's"
"M","Other","New England","1990's"
"M","Other","New England","2000's"
"M","Other","New England","2010's"
"M","Other","New England","2020's"
"M","Other","Middle Atlantic","1970's"
"M","Other","Middle Atlantic","1980's"
"M","Other","Middle Atlantic","1990's"
"M","Other","Middle Atlantic","2000's"
"M","Other","Middle Atlantic","2010's"
"M","Other","Middle Atlantic","2020's"
"M","Other","East North Central","1970's"
"M","Other","East North Central","1980's"
"M","Other","East North Central","1990's"
"M","Other","East North Central","2000's"
"M","Other","East North Central","2010's"
"M","Other","East North Central","2020's"
"M","Other","West North Central","1970's"
"M","Other","West North Central","1980's"
"M","Other","West North Central","1990's"
"M","Other","West North Central","2000's"
"M","Other","West North Central","2010's"
"M","Other","West North Central","2020's"
