"sex","work","region","year"
"F","Working full time","New England","1970's"
"F","Working full time","New England","1980's"
"F","Working full time","New England","1990's"
"F","Working full time","New England","2000's"
"F","Working full time","New England","2010's"
"F","Working full time","New England","2020's"
"F","Working full time","Middle Atlantic","1970's"
"F","Working full time","Middle Atlantic","1980's"
"F","Working full time","Middle Atlantic","1990's"
"F","Working full time","Middle Atlantic","2000's"
"F","Working full time","Middle Atlantic","2010's"
"F","Working full time","Middle Atlantic","2020's"
"F","Working full time","East North Central","1970's"
"F","Working full time","East North Central","1980's"
"F","Working full time","East North Central","1990's"
"F","Working full time","East North Central","2000's"
"F","Working full time","East North Central","2010's"
"F","Working full time","East North Central","2020's"
"F","Working full time","West North Central","1970's"
"F","Working full time","West North Central","1980's"
"F","Working full time","West North Central","1990's"
"F","Working full time","West North Central","2000's"
"F","Working full time","West North Central","2010's"
"F","Working full time","West North Central","2020's"
"F","Retired","New England","1970's"
"F","Retired","New England","1980's"
"F","Retired","New England","1990's"
"F","Retired","New England","2000's"
"F","Retired","New England","2010's"
"F","Retired","New England","2020's"
"F","Retired","Middle Atlantic","1970's"
"F","Retired","Middle Atlantic","1980's"
"F","Retired","Middle Atlantic","1990's"
"F","Retired","Middle Atlantic","2000's"
"F","Retired","Middle Atlantic","2010's"
"F","Retired","Middle Atlantic","2020's"
"F","Retired","East North Central","1970's"
"F","Retired","East North Central","1980's"
"F","Retired","East North Central","1990's"
"F","Retired","East North Central","2000's"
"F","Retired","East North Central","2010's"
"F","Retired","East North Central","2020's"
"F","Retired","West North Central","1970's"
"F","Retired","West North Central","1980's"
"F","Retired","West North Central","1990's"
"F","Retired","West North Central","2000's"
"F","Retired","West North Central","2010's"
"F","Retired","West North Central","2020's"
"F","Working part time","New England","1970's"
"F","Working part time","New England","1980's"
"F","Working part time","New England","1990's"
"F","Working part time","New England","2000's"
"F","Working part time","New England","2010's"
"F","Working part time","New England","2020's"
"F","Working part time","Middle Atlantic","1970's"
"F","Working part time","Middle Atlantic","1980's"
"F","Working part time","Middle Atlantic","1990's"
"F","Working part time","Middle Atlantic","2000's"
"F","Working part time","Middle Atlantic","2010's"
"F","Working part time","Middle Atlantic","2020's"
"F","Working part time","East North Central","1970's"
"F","Working part time","East North Central","1980's"
"F","Working part time","East North Central","1990's"
"F","Working part time","East North Central","2000's"
"F","Working part time","East North Central","2010's"
"F","Working part time","East North Central","2020's"
"F","Working part time","West North Central","1970's"
"F","Working part time","West North Central","1980's"
"F","Working part time","West North Central","1990's"
"F","Working part time","West North Central","2000's"
"F","Working part time","West North Central","2010's"
"F","Working part time","West North Central","2020's"
"F","Keeping house","New England","1970's"
"F","Keeping house","New England","1980's"
"F","Keeping house","New England","1990's"
"F","Keeping house","New England","2000's"
"F","Keeping house","New England","2010's"
"F","Keeping house","New England","2020's"
"F","Keeping house","Middle Atlantic","1970's"
"F","Keeping house","Middle Atlantic","1980's"
"F","Keeping house","Middle Atlantic","1990's"
"F","Keeping house","Middle Atlantic","2000's"
"F","Keeping house","Middle Atlantic","2010's"
"F","Keeping house","Middle Atlantic","2020's"
"F","Keeping house","East North Central","1970's"
"F","Keeping house","East North Central","1980's"
"F","Keeping house","East North Central","1990's"
"F","Keeping house","East North Central","2000's"
"F","Keeping house","East North Central","2010's"
"F","Keeping house","East North Central","2020's"
"F","Keeping house","West North Central","1970's"
"F","Keeping house","West North Central","1980's"
"F","Keeping house","West North Central","1990's"
"F","Keeping house","West North Central","2000's"
"F","Keeping house","West North Central","2010's"
"F","Keeping house","West North Central","2020's"
"F","In school","New England","1970's"
"F","In school","New England","1980's"
"F","In school","New England","1990's"
"F","In school","New England","2000's"
"F","In school","New England","2010's"
"F","In school","New England","2020's"
"F","In school","Middle Atlantic","1970's"
"F","In school","Middle Atlantic","1980's"
"F","In school","Middle Atlantic","1990's"
"F","In school","Middle Atlantic","2000's"
"F","In school","Middle Atlantic","2010's"
"F","In school","Middle Atlantic","2020's"
"F","In school","East North Central","1970's"
"F","In school","East North Central","1980's"
"F","In school","East North Central","1990's"
"F","In school","East North Central","2000's"
"F","In school","East North Central","2010's"
"F","In school","East North Central","2020's"
"F","In school","West North Central","1970's"
"F","In school","West North Central","1980's"
"F","In school","West North Central","1990's"
"F","In school","West North Central","2000's"
"F","In school","West North Central","2010's"
"F","In school","West North Central","2020's"
"F","Unemployed","New England","1970's"
"F","Unemployed","New England","1980's"
"F","Unemployed","New England","1990's"
"F","Unemployed","New England","2000's"
"F","Unemployed","New England","2010's"
"F","Unemployed","New England","2020's"
"F","Unemployed","Middle Atlantic","1970's"
"F","Unemployed","Middle Atlantic","1980's"
"F","Unemployed","Middle Atlantic","1990's"
"F","Unemployed","Middle Atlantic","2000's"
"F","Unemployed","Middle Atlantic","2010's"
"F","Unemployed","Middle Atlantic","2020's"
"F","Unemployed","East North Central","1970's"
"F","Unemployed","East North Central","1980's"
"F","Unemployed","East North Central","1990's"
"F","Unemployed","East North Central","2000's"
"F","Unemployed","East North Central","2010's"
"F","Unemployed","East North Central","2020's"
"F","Unemployed","West North Central","1970's"
"F","Unemployed","West North Central","1980's"
"F","Unemployed","West North Central","1990's"
"F","Unemployed","West North Central","2000's"
"F","Unemployed","West North Central","2010's"
"F","Unemployed","West North Central","2020's"
"F","With a job, but home","New England","1970's"
"F","With a job, but home","New England","1980's"
"F","With a job, but home","New England","1990's"
"F","With a job, but home","New England","2000's"
"F","With a job, but home","New England","2010's"
"F","With a job, but home","New England","2020's"
"F","With a job, but home","Middle Atlantic","1970's"
"F","With a job, but home","Middle Atlantic","1980's"
"F","With a job, but home","Middle Atlantic","1990's"
"F","With a job, but home","Middle Atlantic","2000's"
"F","With a job, but home","Middle Atlantic","2010's"
"F","With a job, but home","Middle Atlantic","2020's"
"F","With a job, but home","East North Central","1970's"
"F","With a job, but home","East North Central","1980's"
"F","With a job, but home","East North Central","1990's"
"F","With a job, but home","East North Central","2000's"
"F","With a job, but home","East North Central","2010's"
"F","With a job, but home","East North Central","2020's"
"F","With a job, but home","West North Central","1970's"
"F","With a job, but home","West North Central","1980's"
"F","With a job, but home","West North Central","1990's"
"F","With a job, but home","West North Central","2000's"
"F","With a job, but home","West North Central","2010's"
"F","With a job, but home","West North Central","2020's"
"F","Other","New England","1970's"
"F","Other","New England","1980's"
"F","Other","New England","1990's"
"F","Other","New England","2000's"
"F","Other","New England","2010's"
"F","Other","New England","2020's"
"F","Other","Middle Atlantic","1970's"
"F","Other","Middle Atlantic","1980's"
"F","Other","Middle Atlantic","1990's"
"F","Other","Middle Atlantic","2000's"
"F","Other","Middle Atlantic","2010's"
"F","Other","Middle Atlantic","2020's"
"F","Other","East North Central","1970's"
"F","Other","East North Central","1980's"
"F","Other","East North Central","1990's"
"F","Other","East North Central","2000's"
"F","Other","East North Central","2010's"
"F","Other","East North Central","2020's"
"F","Other","West North Central","1970's"
"F","Other","West North Central","1980's"
"F","Other","West North Central","1990's"
"F","Other","West North Central","2000's"
"F","Other","West North Central","2010's"
"F","Other","West North Central","2020's"
"M","Working full time","New England","1970's"
"M","Working full time","New England","1980's"
"M","Working full time","New England","1990's"
"M","Working full time","New England","2000's"
"M","Working full time","New England","2010's"
"M","Working full time","New England","2020's"
"M","Working full time","Middle Atlantic","1970's"
"M","Working full time","Middle Atlantic","1980's"
"M","Working full time","Middle Atlantic","1990's"
"M","Working full time","Middle Atlantic","2000's"
"M","Working full time","Middle Atlantic","2010's"
"M","Working full time","Middle Atlantic","2020's"
"M","Working full time","East North Central","1970's"
"M","Working full time","East North Central","1980's"
"M","Working full time","East North Central","1990's"
"M","Working full time","East North Central","2000's"
"M","Working full time","East North Central","2010's"
"M","Working full time","East North Central","2020's"
"M","Working full time","West North Central","1970's"
"M","Working full time","West North Central","1980's"
"M","Working full time","West North Central","1990's"
"M","Working full time","West North Central","2000's"
"M","Working full time","West North Central","2010's"
"M","Working full time","West North Central","2020's"
"M","Retired","New England","1970's"
"M","Retired","New England","1980's"
"M","Retired","New England","1990's"
