"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1972,"F",23,"Middle Atlantic","Not too happy","4 years of college","white","Working full time","Never married","22 to 23","1972 to 1973"
1972,"M",70,"Middle Atlantic","Not too happy","10th grade","white","Retired","Married","70 to 71","1972 to 1973"
1972,"F",48,"Middle Atlantic","Pretty happy","12th grade","white","Working part time","Married","48 to 49","1972 to 1973"
1972,"F",27,"Middle Atlantic","Not too happy","5 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",61,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","60 to 61","1972 to 1973"
1972,"M",26,"Middle Atlantic","Pretty happy","2 years of college","white","Working full time","Never married","26 to 27","1972 to 1973"
1972,"M",28,"Middle Atlantic","Not too happy","1 year of college","white","Working full time","Divorced","28 to 29","1972 to 1973"
1972,"M",27,"Middle Atlantic","Not too happy","4 years of college","white","Working full time","Never married","26 to 27","1972 to 1973"
1972,"F",21,"East North Central","Pretty happy","12th grade","Black","Working part time","Never married","20 to 21","1972 to 1973"
1972,"F",30,"East North Central","Pretty happy","12th grade","Black","Working full time","Married","30 to 31","1972 to 1973"
1972,"F",30,"East North Central","Pretty happy","1 year of college","Black","Keeping house","Married","30 to 31","1972 to 1973"
1972,"M",56,"East North Central","Pretty happy","6th grade","Black","Working full time","Married","56 to 57","1972 to 1973"
1972,"M",54,"East North Central","Pretty happy","9th grade","Black","Working full time","Married","54 to 55","1972 to 1973"
1972,"F",49,"East North Central","Not too happy","8th grade","Black","Working full time","Divorced","48 to 49","1972 to 1973"
1972,"M",41,"East North Central","Very happy","9th grade","Black","Working full time","Married","40 to 41","1972 to 1973"
1972,"M",54,"East North Central","Not too happy","2 years of college","Black","Working full time","Married","54 to 55","1972 to 1973"
1972,"M",24,"East North Central","Very happy","2 years of college","white","In school","Married","24 to 25","1972 to 1973"
1972,"F",62,"East North Central","Very happy","8th grade","white","Keeping house","Married","62 to 63","1972 to 1973"
1972,"F",46,"East North Central","Very happy","5 years of college","white","Working full time","Married","46 to 47","1972 to 1973"
1972,"F",21,"East North Central","Very happy","2 years of college","white","In school","Never married","20 to 21","1972 to 1973"
1972,"M",57,"East North Central","Very happy","12th grade","white","Working full time","Married","56 to 57","1972 to 1973"
1972,"M",58,"East North Central","Very happy","11th grade","white","Working full time","Married","58 to 59","1972 to 1973"
1972,"M",21,"East North Central","Very happy","1 year of college","white","Working full time","Married","20 to 21","1972 to 1973"
1972,"F",26,"East North Central","Very happy","12th grade","white","Keeping house","Married","26 to 27","1972 to 1973"
1972,"F",71,"Middle Atlantic","Pretty happy","4 years of college","white","Keeping house","Married","70 to 71","1972 to 1973"
1972,"F",53,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",42,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","42 to 43","1972 to 1973"
1972,"F",42,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","42 to 43","1972 to 1973"
1972,"M",20,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","20 to 21","1972 to 1973"
1972,"M",23,"Middle Atlantic","Pretty happy","9th grade","white","Working full time","Married","22 to 23","1972 to 1973"
1972,"M",26,"Middle Atlantic","Pretty happy","6th grade","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",25,"Middle Atlantic","Very happy","2 years of college","white","Working part time","Married","24 to 25","1972 to 1973"
1972,"M",26,"Middle Atlantic","Pretty happy","4 years of college","white","Unemployed, laid off, looking for work","Never married","26 to 27","1972 to 1973"
1972,"F",78,"Middle Atlantic","Very happy","8th grade","white","Keeping house","Married","78 to 79","1972 to 1973"
1972,"M",21,"Middle Atlantic","Very happy","12th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Married","20 to 21","1972 to 1973"
1972,"M",27,"Middle Atlantic","Not too happy","2 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",58,"Middle Atlantic","Very happy","1 year of college","white","Keeping house","Married","58 to 59","1972 to 1973"
1972,"F",35,"East North Central","Pretty happy","10th grade","white","Keeping house","Married","34 to 35","1972 to 1973"
1972,"M",58,"East North Central","Not too happy","6th grade","white","Working part time","Never married","58 to 59","1972 to 1973"
1972,"F",51,"East North Central","Pretty happy","12th grade","white","Working full time","Married","50 to 51","1972 to 1973"
1972,"F",76,"East North Central","Very happy","8th grade","white","Keeping house","Widowed","76 to 77","1972 to 1973"
1972,"M",53,"East North Central","Not too happy","2 years of college","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",39,"East North Central","Pretty happy","8th grade","white","Working full time","Married","38 to 39","1972 to 1973"
