"sex","happiness","region","year","count","perc"
"F","Not too happy","East North Central","1970's",234,12.4933262146289
"F","Pretty happy","East North Central","1970's",905,48.3182060864923
"F","Very happy","East North Central","1970's",734,39.1884676988788
"M","Not too happy","East North Central","1970's",220,14.3884892086331
"M","Pretty happy","East North Central","1970's",771,50.4251144538914
"M","Very happy","East North Central","1970's",538,35.1863963374755
"F","Not too happy","East South Central","1970's",0,0
"F","Pretty happy","East South Central","1970's",0,0
"F","Very happy","East South Central","1970's",0,0
"M","Not too happy","East South Central","1970's",0,0
"M","Pretty happy","East South Central","1970's",0,0
"M","Very happy","East South Central","1970's",0,0
"F","Not too happy","Middle Atlantic","1970's",183,11.3664596273292
"F","Pretty happy","Middle Atlantic","1970's",848,52.6708074534161
"F","Very happy","Middle Atlantic","1970's",579,35.9627329192547
"M","Not too happy","Middle Atlantic","1970's",170,11.9802677942213
"M","Pretty happy","Middle Atlantic","1970's",785,55.3206483439042
"M","Very happy","Middle Atlantic","1970's",464,32.6990838618746
"F","Not too happy","Mountain","1970's",0,0
"F","Pretty happy","Mountain","1970's",0,0
"F","Very happy","Mountain","1970's",0,0
"M","Not too happy","Mountain","1970's",0,0
"M","Pretty happy","Mountain","1970's",0,0
"M","Very happy","Mountain","1970's",0,0
"F","Not too happy","New England","1970's",180,14.0955364134691
"F","Pretty happy","New England","1970's",684,53.5630383711825
"F","Very happy","New England","1970's",413,32.3414252153485
"M","Not too happy","New England","1970's",133,12.5353440150801
"M","Pretty happy","New England","1970's",608,57.3044297832234
"M","Very happy","New England","1970's",320,30.1602262016965
"F","Not too happy","Pacific","1970's",0,0
"F","Pretty happy","Pacific","1970's",0,0
"F","Very happy","Pacific","1970's",0,0
"M","Not too happy","Pacific","1970's",0,0
"M","Pretty happy","Pacific","1970's",0,0
"M","Very happy","Pacific","1970's",0,0
"F","Not too happy","South Atlantic","1970's",0,0
"F","Pretty happy","South Atlantic","1970's",0,0
"F","Very happy","South Atlantic","1970's",0,0
"M","Not too happy","South Atlantic","1970's",0,0
"M","Pretty happy","South Atlantic","1970's",0,0
"M","Very happy","South Atlantic","1970's",0,0
"F","Not too happy","West North Central","1970's",115,12.118018967334
"F","Pretty happy","West North Central","1970's",511,53.8461538461538
"F","Very happy","West North Central","1970's",323,34.0358271865121
"M","Not too happy","West North Central","1970's",116,14.0606060606061
"M","Pretty happy","West North Central","1970's",464,56.2424242424242
"M","Very happy","West North Central","1970's",245,29.6969696969697
"F","Not too happy","West South Central","1970's",0,0
"F","Pretty happy","West South Central","1970's",0,0
"F","Very happy","West South Central","1970's",0,0
"M","Not too happy","West South Central","1970's",0,0
"M","Pretty happy","West South Central","1970's",0,0
"M","Very happy","West South Central","1970's",0,0
"F","Not too happy","East North Central","1980's",361,12.9856115107914
"F","Pretty happy","East North Central","1980's",1496,53.8129496402878
"F","Very happy","East North Central","1980's",923,33.2014388489209
"M","Not too happy","East North Central","1980's",232,11.4454859398125
"M","Pretty happy","East North Central","1980's",1134,55.9447459299457
"M","Very happy","East North Central","1980's",661,32.6097681302417
"F","Not too happy","East South Central","1980's",0,0
"F","Pretty happy","East South Central","1980's",0,0
"F","Very happy","East South Central","1980's",0,0
"M","Not too happy","East South Central","1980's",0,0
"M","Pretty happy","East South Central","1980's",0,0
"M","Very happy","East South Central","1980's",0,0
"F","Not too happy","Middle Atlantic","1980's",257,11.4425645592164
"F","Pretty happy","Middle Atlantic","1980's",1260,56.099732858415
"F","Very happy","Middle Atlantic","1980's",729,32.4577025823687
"M","Not too happy","Middle Atlantic","1980's",180,10.8892921960073
"M","Pretty happy","Middle Atlantic","1980's",983,59.4676346037508
"M","Very happy","Middle Atlantic","1980's",490,29.643073200242
"F","Not too happy","Mountain","1980's",0,0
"F","Pretty happy","Mountain","1980's",0,0
"F","Very happy","Mountain","1980's",0,0
"M","Not too happy","Mountain","1980's",0,0
"M","Pretty happy","Mountain","1980's",0,0
"M","Very happy","Mountain","1980's",0,0
"F","Not too happy","New England","1980's",215,13.387297633873
"F","Pretty happy","New England","1980's",916,57.0361145703611
"F","Very happy","New England","1980's",475,29.5765877957659
"M","Not too happy","New England","1980's",171,14.5161290322581
"M","Pretty happy","New England","1980's",652,55.3480475382003
"M","Very happy","New England","1980's",355,30.1358234295416
"F","Not too happy","Pacific","1980's",0,0
"F","Pretty happy","Pacific","1980's",0,0
"F","Very happy","Pacific","1980's",0,0
"M","Not too happy","Pacific","1980's",0,0
"M","Pretty happy","Pacific","1980's",0,0
"M","Very happy","Pacific","1980's",0,0
"F","Not too happy","South Atlantic","1980's",0,0
"F","Pretty happy","South Atlantic","1980's",0,0
"F","Very happy","South Atlantic","1980's",0,0
"M","Not too happy","South Atlantic","1980's",0,0
"M","Pretty happy","South Atlantic","1980's",0,0
"M","Very happy","South Atlantic","1980's",0,0
"F","Not too happy","West North Central","1980's",131,9.64653902798233
"F","Pretty happy","West North Central","1980's",761,56.0382916053019
"F","Very happy","West North Central","1980's",466,34.3151693667158
"M","Not too happy","West North Central","1980's",150,13.1118881118881
"M","Pretty happy","West North Central","1980's",650,56.8181818181818
"M","Very happy","West North Central","1980's",344,30.0699300699301
"F","Not too happy","West South Central","1980's",0,0
"F","Pretty happy","West South Central","1980's",0,0
"F","Very happy","West South Central","1980's",0,0
"M","Not too happy","West South Central","1980's",0,0
"M","Pretty happy","West South Central","1980's",0,0
"M","Very happy","West South Central","1980's",0,0
"F","Not too happy","East North Central","1990's",335,12.646281615704
"F","Pretty happy","East North Central","1990's",1470,55.4926387315968
"F","Very happy","East North Central","1990's",844,31.8610796526991
"M","Not too happy","East North Central","1990's",205,10.3692463328275
"M","Pretty happy","East North Central","1990's",1116,56.4491654021244
"M","Very happy","East North Central","1990's",656,33.181588265048
"F","Not too happy","East South Central","1990's",0,0
"F","Pretty happy","East South Central","1990's",0,0
"F","Very happy","East South Central","1990's",0,0
"M","Not too happy","East South Central","1990's",0,0
"M","Pretty happy","East South Central","1990's",0,0
"M","Very happy","East South Central","1990's",0,0
"F","Not too happy","Middle Atlantic","1990's",197,10.8539944903581
"F","Pretty happy","Middle Atlantic","1990's",1067,58.7878787878788
"F","Very happy","Middle Atlantic","1990's",551,30.3581267217631
"M","Not too happy","Middle Atlantic","1990's",149,10.2475928473177
"M","Pretty happy","Middle Atlantic","1990's",858,59.009628610729
"M","Very happy","Middle Atlantic","1990's",447,30.7427785419532
"F","Not too happy","Mountain","1990's",0,0
"F","Pretty happy","Mountain","1990's",0,0
"F","Very happy","Mountain","1990's",0,0
"M","Not too happy","Mountain","1990's",0,0
"M","Pretty happy","Mountain","1990's",0,0
"M","Very happy","Mountain","1990's",0,0
"F","Not too happy","New England","1990's",203,14.0290255701451
"F","Pretty happy","New England","1990's",834,57.6364892881824
"F","Very happy","New England","1990's",410,28.3344851416724
"M","Not too happy","New England","1990's",121,11.2037037037037
"M","Pretty happy","New England","1990's",664,61.4814814814815
"M","Very happy","New England","1990's",295,27.3148148148148
"F","Not too happy","Pacific","1990's",0,0
"F","Pretty happy","Pacific","1990's",0,0
"F","Very happy","Pacific","1990's",0,0
"M","Not too happy","Pacific","1990's",0,0
"M","Pretty happy","Pacific","1990's",0,0
"M","Very happy","Pacific","1990's",0,0
"F","Not too happy","South Atlantic","1990's",0,0
"F","Pretty happy","South Atlantic","1990's",0,0
"F","Very happy","South Atlantic","1990's",0,0
"M","Not too happy","South Atlantic","1990's",0,0
"M","Pretty happy","South Atlantic","1990's",0,0
"M","Very happy","South Atlantic","1990's",0,0
"F","Not too happy","West North Central","1990's",180,12.0886501007388
"F","Pretty happy","West North Central","1990's",848,56.9509738079248
"F","Very happy","West North Central","1990's",461,30.9603760913365
"M","Not too happy","West North Central","1990's",120,10.3181427343078
"M","Pretty happy","West North Central","1990's",672,57.7815993121238
"M","Very happy","West North Central","1990's",371,31.9002579535684
"F","Not too happy","West South Central","1990's",0,0
"F","Pretty happy","West South Central","1990's",0,0
"F","Very happy","West South Central","1990's",0,0
"M","Not too happy","West South Central","1990's",0,0
