"region","state","color"
"New England","CT","#6BAED6"
"New England","ME","#6BAED6"
"New England","MA","#6BAED6"
"New England","NH","#6BAED6"
"New England","RI","#6BAED6"
"New England","VT","#6BAED6"
"Middle Atlantic","NJ","#FD8D3C"
"Middle Atlantic","NY","#FD8D3C"
"Middle Atlantic","PA","#FD8D3C"
"East North Central","IL","#31A354"
"East North Central","IN","#31A354"
"East North Central","MI","#31A354"
"East North Central","OH","#31A354"
"East North Central","WI","#31A354"
"West North Central","IA","#756BB1"
"West North Central","KS","#756BB1"
"West North Central","MN","#756BB1"
"West North Central","MO","#756BB1"
"West North Central","NE","#756BB1"
"West North Central","ND","#756BB1"
"West North Central","SD","#756BB1"
"South Atlantic","DE","#E6550D"
"South Atlantic","DC","#E6550D"
"South Atlantic","FL","#E6550D"
"South Atlantic","GA","#E6550D"
"South Atlantic","MD","#E6550D"
"South Atlantic","NC","#E6550D"
"South Atlantic","SC","#E6550D"
"South Atlantic","VA","#E6550D"
"South Atlantic","WV","#E6550D"
"East South Central","AL","#636363"
"East South Central","KY","#636363"
"East South Central","MS","#636363"
"East South Central","TN","#636363"
"West South Central","AR","#9ECAE1"
"West South Central","LA","#9ECAE1"
"West South Central","OK","#9ECAE1"
"West South Central","TX","#9ECAE1"
"Mountain","AZ","#74C476"
"Mountain","CO","#74C476"
"Mountain","ID","#74C476"
"Mountain","MT","#74C476"
"Mountain","NV","#74C476"
"Mountain","NM","#74C476"
"Mountain","UT","#74C476"
"Mountain","WY","#74C476"
"Pacific","AK","#E377C2"
"Pacific","CA","#E377C2"
"Pacific","HI","#E377C2"
"Pacific","OR","#E377C2"
"Pacific","WA","#E377C2"
